CustomerID,Tenure,MonthlyCharges,TotalCharges,Contract,PaperlessBilling,SeniorCitizen,Churn,PM_Bank Transfer,PM_Credit Card,PM_Electronic Check
C00001,6,64,1540,1,0,1,0,0,1,0
C00002,21,113,1753,0,1,1,0,0,0,1
C00003,27,31,1455,2,0,1,0,0,1,0
C00004,53,29,7150,0,0,1,0,0,0,1
C00005,16,185,1023,1,0,1,0,0,0,1
C00006,55,44,7538,2,0,0,0,0,0,1
C00007,66,99,4178,2,0,1,0,1,0,0
C00008,61,128,3088,0,0,1,0,1,0,0
C00009,64,124,7973,0,0,1,0,0,1,0
C00010,14,120,5844,1,1,1,0,1,0,0
C00011,59,57,5168,1,1,0,0,0,1,0
C00012,7,110,7282,0,0,1,1,0,0,1
C00013,53,86,3438,0,1,1,0,1,0,0
C00014,8,158,6194,0,0,1,1,0,1,0
C00015,53,58,768,0,1,1,0,0,1,0
C00016,65,77,4071,0,1,1,0,0,1,0
C00017,19,187,4874,2,0,0,0,0,1,0
C00018,42,101,3736,1,1,0,0,1,0,0
C00019,7,156,5389,1,1,0,1,1,0,0
C00020,26,105,6868,0,1,1,0,1,0,0
C00021,38,137,1000,0,0,1,0,0,0,1
C00022,25,120,4855,2,1,0,0,0,1,0
C00023,60,40,1755,1,0,1,0,0,1,0
C00024,30,100,3710,2,0,1,0,0,1,0
C00025,25,193,7565,0,0,0,0,1,0,0
C00026,47,181,3295,1,0,1,0,0,1,0
C00027,60,101,3741,0,0,1,0,1,0,0
C00028,20,56,3950,1,0,1,0,1,0,0
C00029,36,175,3682,1,0,0,0,1,0,0
C00030,34,190,7540,1,0,1,0,1,0,0
C00031,28,101,4643,1,1,1,0,0,0,1
C00032,10,196,4825,0,1,0,1,0,1,0
C00033,43,182,7129,1,1,0,0,0,0,1
C00034,32,195,7139,1,1,1,0,1,0,0
C00035,60,44,1302,1,0,1,0,0,1,0
C00036,50,116,690,0,0,1,0,0,1,0
C00037,37,42,947,0,0,0,0,0,0,1
C00038,62,166,6225,2,1,1,0,0,0,1
C00039,50,84,858,0,0,0,0,0,1,0
C00040,26,151,1952,2,0,0,0,0,0,1
C00041,42,20,1950,2,1,1,0,0,1,0
C00042,7,148,2701,2,1,0,0,0,1,0
C00043,63,89,6547,1,1,0,0,0,0,1
C00044,42,123,3913,0,0,1,0,0,1,0
C00045,34,93,3344,2,1,0,0,0,1,0
C00046,32,170,4773,2,0,1,0,0,1,0
C00047,22,46,7555,0,0,1,0,1,0,0
C00048,37,162,3735,0,1,1,0,0,0,1
C00049,56,49,3376,0,0,0,0,1,0,0
C00050,49,121,5161,1,1,0,0,1,0,0
C00051,71,172,416,0,0,1,0,0,0,1
C00052,31,154,7537,2,1,1,0,0,1,0
C00053,53,48,1497,1,0,0,0,0,1,0
C00054,49,68,2615,0,1,1,0,1,0,0
C00055,9,157,7022,0,0,0,1,1,0,0
C00056,47,54,6827,2,1,0,0,1,0,0
C00057,58,121,3537,1,0,1,0,0,1,0
C00058,59,72,7053,0,1,0,0,1,0,0
C00059,36,38,3792,1,1,1,0,1,0,0
C00060,26,182,7074,0,0,0,0,0,1,0
C00061,23,187,5608,0,0,1,0,0,0,1
C00062,10,195,4284,2,0,0,1,0,0,1
C00063,53,128,5803,1,0,0,0,1,0,0
C00064,25,176,4496,1,0,1,0,1,0,0
C00065,65,180,4142,1,1,0,0,0,1,0
C00066,3,140,2541,1,0,1,0,0,0,1
C00067,53,61,3631,1,0,0,0,1,0,0
C00068,62,62,3016,2,1,0,0,0,1,0
C00069,2,102,1333,2,1,0,1,0,1,0
C00070,53,21,6828,1,0,0,0,0,1,0
C00071,69,153,1418,0,0,0,0,0,0,1
C00072,68,153,1930,1,1,0,0,0,0,1
C00073,13,125,3696,2,0,1,0,0,1,0
C00074,2,152,2038,0,0,0,1,1,0,0
C00075,70,77,7593,2,1,0,0,0,0,1
C00076,35,170,936,1,1,0,0,1,0,0
C00077,4,43,7302,0,1,0,1,0,1,0
C00078,41,109,7937,2,1,1,0,1,0,0
C00079,8,95,3792,1,1,1,0,1,0,0
C00080,47,138,6406,2,1,0,0,0,1,0
C00081,35,139,5211,2,0,0,0,1,0,0
C00082,30,162,3917,1,0,0,0,0,1,0
C00083,27,142,1908,2,0,1,0,1,0,0
C00084,50,141,4412,0,0,0,0,0,1,0
C00085,51,136,4725,2,1,1,0,1,0,0
C00086,63,29,7685,2,1,1,0,0,1,0
C00087,43,103,2856,1,0,1,0,0,0,1
C00088,40,108,2650,1,0,1,0,0,0,1
C00089,41,177,4075,1,1,0,0,1,0,0
C00090,21,126,7735,1,1,0,0,0,1,0
C00091,3,188,2422,2,0,1,0,0,1,0
C00092,42,122,1294,2,0,0,0,1,0,0
C00093,18,29,7469,0,1,0,0,0,0,1
C00094,55,193,4344,2,0,1,0,1,0,0
C00095,21,140,3171,1,0,1,0,0,0,1
