CustomerID,Tenure,MonthlyCharges,TotalCharges,Contract,PaperlessBilling,SeniorCitizen,Churn,PM_Bank Transfer,PM_Credit Card,PM_Electronic Check
C00001,-0.8857142857142857,-0.5604395604395604,-0.6557885593746122,1,0,1,0,0,1,0
C00002,-0.45714285714285713,-0.02197802197802198,-0.6029284030276709,0,1,1,0,0,0,1
C00003,-0.2857142857142857,-0.9230769230769231,-0.6768829879637672,2,0,1,0,0,1,0
C00004,0.45714285714285713,-0.945054945054945,0.7364437275096166,0,0,1,0,0,0,1
C00005,-0.6,0.7692307692307693,-0.7840923191462961,1,0,1,0,0,0,1
C00006,0.5142857142857142,-0.7802197802197802,0.8327335897754063,2,0,0,0,0,0,1
C00007,0.8285714285714286,-0.17582417582417584,-0.0011167638664846755,2,0,1,0,1,0,0
C00008,0.6857142857142857,0.14285714285714285,-0.27162178930388386,0,0,1,0,1,0,0
C00009,0.7714285714285715,0.0989010989010989,0.9406874302022583,0,0,1,0,0,1,0
C00010,-0.6571428571428571,0.054945054945054944,0.41233403648095296,1,1,1,0,1,0,0
C00011,0.6285714285714286,-0.6373626373626373,0.24457128676014395,1,1,0,0,0,1,0
C00012,-0.8571428571428571,-0.054945054945054944,0.7692021342598337,0,0,1,1,0,0,1
C00013,0.45714285714285713,-0.31868131868131866,-0.18476237746618687,0,1,1,0,1,0,0
C00014,-0.8285714285714286,0.4725274725274725,0.49919344831865,0,0,1,1,0,1,0
C00015,0.45714285714285713,-0.6263736263736264,-0.847375604913761,0,1,1,0,0,1,0
C00016,0.8,-0.4175824175824176,-0.027670926914009183,0,1,1,0,0,1,0
C00017,-0.5142857142857142,0.7912087912087912,0.17160938081647847,2,0,0,0,0,1,0
C00018,0.14285714285714285,-0.15384615384615385,-0.11080779253009058,1,1,0,0,1,0,0
C00019,-0.8571428571428571,0.45054945054945056,0.2994168010919469,1,1,0,1,1,0,0
C00020,-0.3142857142857143,-0.10989010989010989,0.6664598585432436,0,1,1,0,1,0,0
C00021,0.02857142857142857,0.24175824175824176,-0.7898002233527733,0,0,1,0,0,0,1
C00022,-0.34285714285714286,0.054945054945054944,0.16689415560243206,2,1,0,0,0,1,0
C00023,0.6571428571428571,-0.8241758241758241,-0.6024320635314555,1,0,1,0,0,1,0
C00024,-0.2,-0.16483516483516483,-0.11726020598089093,2,0,1,0,0,1,0
C00025,-0.34285714285714286,0.8571428571428571,0.8394341729743144,0,0,0,0,1,0,0
C00026,0.2857142857142857,0.7252747252747253,-0.22025065144558878,1,0,1,0,0,1,0
C00027,0.6571428571428571,-0.15384615384615385,-0.10956694378955205,0,0,1,0,1,0,0
C00028,-0.4857142857142857,-0.6483516483516484,-0.05769946643504157,1,0,1,0,1,0,0
C00029,-0.02857142857142857,0.6593406593406593,-0.12420895892790669,1,0,0,0,1,0,0
C00030,-0.08571428571428572,0.8241758241758241,0.8332299292716218,1,0,1,0,1,0,0
C00031,-0.2571428571428571,-0.15384615384615385,0.11428216900359846,1,1,1,0,0,0,1
C00032,-0.7714285714285715,0.8901098901098901,0.1594490631592009,0,1,0,1,0,1,0
C00033,0.17142857142857143,0.7362637362637363,0.7312321627993548,1,1,0,0,0,0,1
C00034,-0.14285714285714285,0.8791208791208791,0.7337138602804318,1,1,1,0,1,0,0
C00035,0.6571428571428571,-0.7802197802197802,-0.7148529594242462,1,0,1,0,0,1,0
C00036,0.37142857142857144,0.01098901098901099,-0.866732845266162,0,0,1,0,0,1,0
C00037,0.0,-0.8021978021978022,-0.8029532200024817,0,0,0,0,0,0,1
C00038,0.7142857142857143,0.5604395604395604,0.5068867105099888,2,1,1,0,0,0,1
C00039,0.37142857142857144,-0.34065934065934067,-0.8250403275840675,0,0,0,0,0,1,0
C00040,-0.3142857142857143,0.3956043956043956,-0.5535426231542375,2,0,0,0,0,0,1
C00041,0.14285714285714285,-1.043956043956044,-0.5540389626504529,2,1,1,0,0,1,0
C00042,-0.8571428571428571,0.3626373626373626,-0.36766348182156594,2,1,0,0,0,1,0
C00043,0.7428571428571429,-0.2857142857142857,0.5867973694006701,1,1,0,0,0,0,1
C00044,0.14285714285714285,0.08791208791208792,-0.06688174711502667,0,0,1,0,0,1,0
C00045,-0.08571428571428572,-0.24175824175824176,-0.2080903337883112,2,1,0,0,0,1,0
C00046,-0.14285714285714285,0.6043956043956044,0.14654423625760019,2,0,1,0,0,1,0
C00047,-0.42857142857142855,-0.7582417582417582,0.8369524754932374,0,0,1,0,1,0,0
C00048,0.0,0.5164835164835165,-0.11105596227819829,0,1,1,0,0,0,1
C00049,0.5428571428571428,-0.7252747252747253,-0.20014890184886464,0,0,0,0,1,0,0
C00050,0.34285714285714286,0.06593406593406594,0.24283409852339,1,1,0,0,1,0,0
C00051,0.9714285714285714,0.6263736263736264,-0.9347313562476735,0,0,1,0,0,0,1
